Tanggal,Provinsi,Kasus Aktif
21-Mar,Jawa Barat,47
22-Mar,Jawa Barat,45
23-Mar,Jawa Barat,45
24-Mar,Jawa Barat,45
25-Mar,Jawa Barat,58
26-Mar,Jawa Barat,62
27-Mar,Jawa Barat,79
28-Mar,Jawa Barat,96
29-Mar,Jawa Barat,124
30-Mar,Jawa Barat,152
31-Mar,Jawa Barat,166
1-Apr,Jawa Barat,188
2-Apr,Jawa Barat,187
3-Apr,Jawa Barat,188
4-Apr,Jawa Barat,207
5-Apr,Jawa Barat,212
6-Apr,Jawa Barat,221
7-Apr,Jawa Barat,297
8-Apr,Jawa Barat,313
9-Apr,Jawa Barat,317
10-Apr,Jawa Barat,329
11-Apr,Jawa Barat,362
12-Apr,Jawa Barat,388
13-Apr,Jawa Barat,466
14-Apr,Jawa Barat,455
15-Apr,Jawa Barat,484
16-Apr,Jawa Barat,489
17-Apr,Jawa Barat,535
18-Apr,Jawa Barat,544
19-Apr,Jawa Barat,592
20-Apr,Jawa Barat,629
21-Apr,Jawa Barat,613
22-Apr,Jawa Barat,612
23-Apr,Jawa Barat,623
24-Apr,Jawa Barat,695
25-Apr,Jawa Barat,737
26-Apr,Jawa Barat,742
27-Apr,Jawa Barat,777
28-Apr,Jawa Barat,787
29-Apr,Jawa Barat,823
30-Apr,Jawa Barat,786
1-May,Jawa Barat,784
2-May,Jawa Barat,812
3-May,Jawa Barat,817
4-May,Jawa Barat,1007
5-May,Jawa Barat,1046
6-May,Jawa Barat,1053
7-May,Jawa Barat,1109
8-May,Jawa Barat,1128
9-May,Jawa Barat,1140
10-May,Jawa Barat,1140
11-May,Jawa Barat,1185
12-May,Jawa Barat,1234
13-May,Jawa Barat,1221
14-May,Jawa Barat,1224
15-May,Jawa Barat,1237
16-May,Jawa Barat,1256
17-May,Jawa Barat,1222
18-May,Jawa Barat,1157
19-May,Jawa Barat,1165
20-May,Jawa Barat,1340
21-May,Jawa Barat,1416
22-May,Jawa Barat,1445
23-May,Jawa Barat,1447
24-May,Jawa Barat,1484
25-May,Jawa Barat,1506
26-May,Jawa Barat,1488
27-May,Jawa Barat,1473
28-May,Jawa Barat,1453
29-May,Jawa Barat,1477
30-May,Jawa Barat,1471
31-May,Jawa Barat,1497
1-Jun,Jawa Barat,1531
2-Jun,Jawa Barat,1515
3-Jun,Jawa Barat,1464
4-Jun,Jawa Barat,1480
5-Jun,Jawa Barat,1444
6-Jun,Jawa Barat,1439
7-Jun,Jawa Barat,1368
8-Jun,Jawa Barat,1311
9-Jun,Jawa Barat,1325
10-Jun,Jawa Barat,1350
11-Jun,Jawa Barat,1374
12-Jun,Jawa Barat,1354
13-Jun,Jawa Barat,1333
14-Jun,Jawa Barat,1308
15-Jun,Jawa Barat,1319
16-Jun,Jawa Barat,1349
17-Jun,Jawa Barat,1357
18-Jun,Jawa Barat,1356
19-Jun,Jawa Barat,1373
20-Jun,Jawa Barat,1396
21-Jun,Jawa Barat,1414
22-Jun,Jawa Barat,1407
23-Jun,Jawa Barat,1413
24-Jun,Jawa Barat,1448
25-Jun,Jawa Barat,1416
26-Jun,Jawa Barat,1341
27-Jun,Jawa Barat,1376
28-Jun,Jawa Barat,1396
29-Jun,Jawa Barat,1437
30-Jun,Jawa Barat,1435
1-Jul,Jawa Barat,1477
2-Jul,Jawa Barat,1502
3-Jul,Jawa Barat,1529
4-Jul,Jawa Barat,1601
5-Jul,Jawa Barat,1695
6-Jul,Jawa Barat,1804
7-Jul,Jawa Barat,1836
8-Jul,Jawa Barat,1912
9-Jul,Jawa Barat,2846
10-Jul,Jawa Barat,2926
11-Jul,Jawa Barat,2974
12-Jul,Jawa Barat,3014
13-Jul,Jawa Barat,3078
14-Jul,Jawa Barat,3125
15-Jul,Jawa Barat,3059
16-Jul,Jawa Barat,3061
17-Jul,Jawa Barat,3071
18-Jul,Jawa Barat,3097
19-Jul,Jawa Barat,3120
20-Jul,Jawa Barat,3086
21-Jul,Jawa Barat,3111
22-Jul,Jawa Barat,3118
23-Jul,Jawa Barat,3166
24-Jul,Jawa Barat,3238
25-Jul,Jawa Barat,3277
26-Jul,Jawa Barat,3305
27-Jul,Jawa Barat,2944
28-Jul,Jawa Barat,2445
29-Jul,Jawa Barat,2491
30-Jul,Jawa Barat,2302
31-Jul,Jawa Barat,2356
1-Aug,Jawa Barat,2389
2-Aug,Jawa Barat,2435
3-Aug,Jawa Barat,2443
4-Aug,Jawa Barat,2361
5-Aug,Jawa Barat,2476
6-Aug,Jawa Barat,2526
7-Aug,Jawa Barat,2611
8-Aug,Jawa Barat,2811
9 Aug,Jawa Barat,2921
10 Aug,Jawa Barat,2927
11 Aug,Jawa Barat,2979
12 Aug,Jawa Barat,3016
13 Aug,Jawa Barat,3097
14 Aug,Jawa Barat,3449
15 Aug,Jawa Barat,3650
16 Aug,Jawa Barat,3690
17 Aug,Jawa Barat,3689
18 Aug,Jawa Barat,3718
19 Aug,Jawa Barat,3770
20 Aug,Jawa Barat,3896
21 Aug,Jawa Barat,3859
22 Aug,Jawa Barat,3806
23 Aug,Jawa Barat,3356
24 Aug,Jawa Barat,3282
25 Aug,Jawa Barat,3526
26 Aug,Jawa Barat,3674
27 Aug,Jawa Barat,3742
28 Aug,Jawa Barat,4199
29 Aug,Jawa Barat,4478
30 Aug,Jawa Barat,4560
31 Aug,Jawa Barat,4640
1 Sep,Jawa Barat,4801
2 Sep,Jawa Barat,4866
3 Sep,Jawa Barat,5070
4 Sep,Jawa Barat,5368
5 Sep,Jawa Barat,5551
6 Sep,Jawa Barat,5670
7 Sep,Jawa Barat,5786
8 Sep,Jawa Barat,6044
9 Sep,Jawa Barat,6281
10 Sep,Jawa Barat,6507
11 Sep,Jawa Barat,6486
12 Sep,Jawa Barat,6444
13 Sep,Jawa Barat,6404
14 Sep,Jawa Barat,6443
15 Sep,Jawa Barat,6527
16 Sep,Jawa Barat,6606
17 Sep,Jawa Barat,6625
18 Sep,Jawa Barat,6676
19 Sep,Jawa Barat,6592
20 Sep,Jawa Barat,6595
21 Sep,Jawa Barat,7016
22 Sep,Jawa Barat,6992
23 Sep,Jawa Barat,7325
24 Sep,Jawa Barat,7868
25 Sep,Jawa Barat,7741
26 Sep,Jawa Barat,7487
27 Sep,Jawa Barat,7693
28 Sep,Jawa Barat,7872
29 Sep,Jawa Barat,8075
30 Sep,Jawa Barat,8135
1 Oct,Jawa Barat,8551
2 Oct,Jawa Barat,8895
3 Oct,Jawa Barat,9128
4 Oct,Jawa Barat,9282
5 Oct,Jawa Barat,8980
6 Oct,Jawa Barat,9271
7 Oct,Jawa Barat,9497
8 Oct,Jawa Barat,9766
9 Oct,Jawa Barat,9705
10 Oct,Jawa Barat,9594
11 Oct,Jawa Barat,9244
12 Oct,Jawa Barat,9283
13 Oct,Jawa Barat,9279
14 Oct,Jawa Barat,9184
