Tanggal,Provinsi,Kasus Aktif
3/21/2022,Jawa Barat,47
3/22/2022,Jawa Barat,45
3/23/2022,Jawa Barat,45
3/24/2022,Jawa Barat,45
3/25/2022,Jawa Barat,58
3/26/2022,Jawa Barat,62
3/27/2022,Jawa Barat,79
3/28/2022,Jawa Barat,96
3/29/2022,Jawa Barat,124
3/30/2022,Jawa Barat,152
3/31/2022,Jawa Barat,166
4/1/2022,Jawa Barat,188
4/2/2022,Jawa Barat,187
4/3/2022,Jawa Barat,188
4/4/2022,Jawa Barat,207
4/5/2022,Jawa Barat,212
4/6/2022,Jawa Barat,221
4/7/2022,Jawa Barat,297
4/8/2022,Jawa Barat,313
4/9/2022,Jawa Barat,317
4/10/2022,Jawa Barat,329
4/11/2022,Jawa Barat,362
4/12/2022,Jawa Barat,388
4/13/2022,Jawa Barat,466
4/14/2022,Jawa Barat,455
4/15/2022,Jawa Barat,484
4/16/2022,Jawa Barat,489
4/17/2022,Jawa Barat,535
4/18/2022,Jawa Barat,544
4/19/2022,Jawa Barat,592
4/20/2022,Jawa Barat,629
4/21/2022,Jawa Barat,613
4/22/2022,Jawa Barat,612
4/23/2022,Jawa Barat,623
4/24/2022,Jawa Barat,695
4/25/2022,Jawa Barat,737
4/26/2022,Jawa Barat,742
4/27/2022,Jawa Barat,777
4/28/2022,Jawa Barat,787
4/29/2022,Jawa Barat,823
4/30/2022,Jawa Barat,786
5/1/2022,Jawa Barat,784
5/2/2022,Jawa Barat,812
5/3/2022,Jawa Barat,817
5/4/2022,Jawa Barat,1007
5/5/2022,Jawa Barat,1046
5/6/2022,Jawa Barat,1053
5/7/2022,Jawa Barat,1109
5/8/2022,Jawa Barat,1128
5/9/2022,Jawa Barat,1140
5/10/2022,Jawa Barat,1140
5/11/2022,Jawa Barat,1185
5/12/2022,Jawa Barat,1234
5/13/2022,Jawa Barat,1221
5/14/2022,Jawa Barat,1224
5/15/2022,Jawa Barat,1237
5/16/2022,Jawa Barat,1256
5/17/2022,Jawa Barat,1222
5/18/2022,Jawa Barat,1157
5/19/2022,Jawa Barat,1165
5/20/2022,Jawa Barat,1340
5/21/2022,Jawa Barat,1416
5/22/2022,Jawa Barat,1445
5/23/2022,Jawa Barat,1447
5/24/2022,Jawa Barat,1484
5/25/2022,Jawa Barat,1506
5/26/2022,Jawa Barat,1488
5/27/2022,Jawa Barat,1473
5/28/2022,Jawa Barat,1453
5/29/2022,Jawa Barat,1477
5/30/2022,Jawa Barat,1471
5/31/2022,Jawa Barat,1497
6/1/2022,Jawa Barat,1531
6/2/2022,Jawa Barat,1515
6/3/2022,Jawa Barat,1464
6/4/2022,Jawa Barat,1480
6/5/2022,Jawa Barat,1444
6/6/2022,Jawa Barat,1439
6/7/2022,Jawa Barat,1368
6/8/2022,Jawa Barat,1311
6/9/2022,Jawa Barat,1325
6/10/2022,Jawa Barat,1350
6/11/2022,Jawa Barat,1374
6/12/2022,Jawa Barat,1354
6/13/2022,Jawa Barat,1333
6/14/2022,Jawa Barat,1308
6/15/2022,Jawa Barat,1319
6/16/2022,Jawa Barat,1349
6/17/2022,Jawa Barat,1357
6/18/2022,Jawa Barat,1356
6/19/2022,Jawa Barat,1373
6/20/2022,Jawa Barat,1396
6/21/2022,Jawa Barat,1414
6/22/2022,Jawa Barat,1407
6/23/2022,Jawa Barat,1413
6/24/2022,Jawa Barat,1448
6/25/2022,Jawa Barat,1416
6/26/2022,Jawa Barat,1341
6/27/2022,Jawa Barat,1376
6/28/2022,Jawa Barat,1396
6/29/2022,Jawa Barat,1437
6/30/2022,Jawa Barat,1435
7/1/2022,Jawa Barat,1477
7/2/2022,Jawa Barat,1502
7/3/2022,Jawa Barat,1529
7/4/2022,Jawa Barat,1601
7/5/2022,Jawa Barat,1695
7/6/2022,Jawa Barat,1804
7/7/2022,Jawa Barat,1836
7/8/2022,Jawa Barat,1912
7/9/2022,Jawa Barat,2846
7/10/2022,Jawa Barat,2926
7/11/2022,Jawa Barat,2974
7/12/2022,Jawa Barat,3014
7/13/2022,Jawa Barat,3078
7/14/2022,Jawa Barat,3125
7/15/2022,Jawa Barat,3059
7/16/2022,Jawa Barat,3061
7/17/2022,Jawa Barat,3071
7/18/2022,Jawa Barat,3097
7/19/2022,Jawa Barat,3120
7/20/2022,Jawa Barat,3086
7/21/2022,Jawa Barat,3111
7/22/2022,Jawa Barat,3118
7/23/2022,Jawa Barat,3166
7/24/2022,Jawa Barat,3238
7/25/2022,Jawa Barat,3277
7/26/2022,Jawa Barat,3305
7/27/2022,Jawa Barat,2944
7/28/2022,Jawa Barat,2445
7/29/2022,Jawa Barat,2491
7/30/2022,Jawa Barat,2302
7/31/2022,Jawa Barat,2356
8/1/2022,Jawa Barat,2389
8/2/2022,Jawa Barat,2435
8/3/2022,Jawa Barat,2443
8/4/2022,Jawa Barat,2361
8/5/2022,Jawa Barat,2476
8/6/2022,Jawa Barat,2526
8/7/2022,Jawa Barat,2611
8/8/2022,Jawa Barat,2811
8/9/2022,Jawa Barat,2921
8/10/2022,Jawa Barat,2927
8/11/2022,Jawa Barat,2979
8/12/2022,Jawa Barat,3016
8/13/2022,Jawa Barat,3097
8/14/2022,Jawa Barat,3449
8/15/2022,Jawa Barat,3650
8/16/2022,Jawa Barat,3690
8/17/2022,Jawa Barat,3689
8/18/2022,Jawa Barat,3718
8/19/2022,Jawa Barat,3770
8/20/2022,Jawa Barat,3896
8/21/2022,Jawa Barat,3859
8/22/2022,Jawa Barat,3806
8/23/2022,Jawa Barat,3356
8/24/2022,Jawa Barat,3282
8/25/2022,Jawa Barat,3526
8/26/2022,Jawa Barat,3674
8/27/2022,Jawa Barat,3742
8/28/2022,Jawa Barat,4199
8/29/2022,Jawa Barat,4478
8/30/2022,Jawa Barat,4560
8/31/2022,Jawa Barat,4640
9/1/2022,Jawa Barat,4801
9/2/2022,Jawa Barat,4866
9/3/2022,Jawa Barat,5070
9/4/2022,Jawa Barat,5368
9/5/2022,Jawa Barat,5551
9/6/2022,Jawa Barat,5670
9/7/2022,Jawa Barat,5786
9/8/2022,Jawa Barat,6044
9/9/2022,Jawa Barat,6281
9/10/2022,Jawa Barat,6507
9/11/2022,Jawa Barat,6486
9/12/2022,Jawa Barat,6444
9/13/2022,Jawa Barat,6404
9/14/2022,Jawa Barat,6443
9/15/2022,Jawa Barat,6527
9/16/2022,Jawa Barat,6606
9/17/2022,Jawa Barat,6625
9/18/2022,Jawa Barat,6676
9/19/2022,Jawa Barat,6592
